"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jacob deGrom","Mets","10","9","0","32","32","217.0","11.16","1.91","0.41",".281","82.0 %","46.4 %","6.3 %","1.70","1.99","2.60","8.8","10954"
"Max Scherzer","Nationals","18","7","0","33","33","220.2","12.24","2.08","0.94",".265","81.3 %","34.3 %","9.7 %","2.53","2.65","3.06","7.2","3137"
"Justin Verlander","Astros","16","9","0","34","34","214.0","12.20","1.56","1.18",".272","85.3 %","29.1 %","11.1 %","2.52","2.78","3.03","6.8","8700"
"Patrick Corbin","Diamondbacks","11","7","0","33","33","200.0","11.07","2.16","0.68",".302","74.7 %","48.5 %","11.1 %","3.15","2.47","2.61","6.3","9323"
"Gerrit Cole","Astros","15","5","0","32","32","200.1","12.40","2.88","0.85",".286","77.9 %","36.0 %","10.0 %","2.88","2.70","3.04","6.3","13125"
"Trevor Bauer","Indians","12","6","1","28","27","175.1","11.34","2.93","0.46",".297","79.5 %","44.5 %","6.2 %","2.21","2.44","3.14","6.1","12703"
"Luis Severino","Yankees","19","8","0","32","32","191.1","10.35","2.16","0.89",".314","75.0 %","41.1 %","11.4 %","3.39","2.95","3.10","5.7","15890"
"Aaron Nola","Phillies","17","6","0","33","33","212.1","9.49","2.46","0.72",".251","82.5 %","50.6 %","10.6 %","2.37","3.01","3.21","5.6","16149"
"Corey Kluber","Indians","20","7","0","33","33","215.0","9.29","1.42","1.05",".276","77.9 %","44.4 %","13.1 %","2.89","3.12","3.08","5.6","2429"
"Carlos Carrasco","Indians","17","10","0","32","30","192.0","10.83","2.02","0.98",".315","74.8 %","46.8 %","13.1 %","3.38","2.94","2.90","5.3","6632"
"Blake Snell","Rays","21","5","0","31","31","180.2","11.01","3.19","0.80",".241","88.0 %","44.7 %","10.7 %","1.89","2.95","3.16","4.6","13543"
"German Marquez","Rockies","14","11","0","33","33","196.0","10.56","2.62","1.10",".311","73.2 %","47.3 %","15.7 %","3.77","3.40","3.10","4.5","15038"
"Mike Clevinger","Indians","13","8","0","32","32","200.0","9.32","3.02","0.95",".280","79.8 %","40.5 %","10.2 %","3.02","3.52","3.86","4.3","12808"
"Miles Mikolas","Cardinals","18","4","0","32","32","200.2","6.55","1.30","0.72",".279","76.2 %","49.3 %","9.2 %","2.83","3.28","3.67","4.3","9803"
"Kyle Freeland","Rockies","17","7","0","33","33","202.1","7.70","3.11","0.76",".285","82.8 %","46.0 %","8.5 %","2.85","3.67","4.22","4.2","16256"
"Zack Wheeler","Mets","12","7","0","29","29","182.1","8.84","2.71","0.69",".279","74.6 %","44.2 %","8.1 %","3.31","3.25","3.81","4.1","10310"
"Mike Foltynewicz","Braves","13","10","0","31","31","183.0","9.93","3.34","0.84",".251","77.1 %","43.1 %","9.6 %","2.85","3.37","3.77","3.9","10811"
"Jameson Taillon","Pirates","14","10","0","32","32","191.0","8.43","2.17","0.94",".298","79.8 %","46.2 %","11.7 %","3.20","3.46","3.58","3.7","11674"
"Dallas Keuchel","Astros","12","11","0","34","34","204.2","6.73","2.55","0.79",".300","72.8 %","53.7 %","11.3 %","3.74","3.69","3.84","3.6","9434"
"Marco Gonzales","Mariners","13","9","0","29","29","166.2","7.83","1.73","0.92",".319","72.0 %","44.9 %","11.3 %","4.00","3.43","3.59","3.6","15467"
"Zack Greinke","Diamondbacks","15","11","0","33","33","207.2","8.62","1.86","1.21",".272","80.2 %","45.1 %","15.0 %","3.21","3.71","3.44","3.5","1943"
"Jose Berrios","Twins","12","11","0","32","32","192.1","9.45","2.85","1.17",".270","75.8 %","41.5 %","12.8 %","3.84","3.90","3.89","3.3","14168"
"Kyle Hendricks","Cubs","14","11","0","33","33","199.0","7.28","1.99","0.99",".281","75.2 %","47.0 %","12.0 %","3.44","3.78","3.87","3.2","12049"
"J.A. Happ","- - -","17","6","0","31","31","177.2","9.78","2.58","1.37",".272","74.9 %","40.1 %","13.4 %","3.65","3.98","3.88","3.2","7410"
"Charlie Morton","Astros","15","3","0","30","30","167.0","10.83","3.45","0.97",".283","79.6 %","47.4 %","14.5 %","3.13","3.59","3.42","3.1","4676"
"Kyle Gibson","Twins","10","13","0","32","32","196.2","8.19","3.62","1.05",".285","75.5 %","49.8 %","14.8 %","3.62","4.13","3.91","2.8","10123"
"Zack Godley","Diamondbacks","15","11","0","33","32","178.1","9.34","4.09","0.81",".324","67.5 %","48.8 %","11.3 %","4.74","3.82","3.96","2.8","14862"
"Andrew Heaney","Angels","9","10","0","30","30","180.0","9.00","2.25","1.35",".294","71.4 %","41.2 %","15.2 %","4.15","3.99","3.68","2.8","15423"
"Nick Pivetta","Phillies","7","14","0","33","32","164.0","10.32","2.80","1.32",".326","69.0 %","46.7 %","15.8 %","4.77","3.80","3.42","2.8","15454"
"Rick Porcello","Red Sox","17","7","0","33","33","191.1","8.94","2.26","1.27",".285","70.9 %","44.1 %","13.8 %","4.28","4.01","3.87","2.7","2717"
"David Price","Red Sox","16","7","0","30","30","176.0","9.05","2.56","1.28",".274","77.3 %","40.1 %","13.2 %","3.58","4.02","3.95","2.7","3184"
"Jon Gray","Rockies","12","9","0","31","31","172.1","9.56","2.72","1.41",".322","67.9 %","47.5 %","18.1 %","5.12","4.08","3.47","2.7","14916"
"Jhoulys Chacin","Brewers","15","8","0","35","35","192.2","7.29","3.32","0.84",".250","72.5 %","42.2 %","9.3 %","3.50","4.03","4.47","2.6","2608"
"Jake Odorizzi","Twins","7","10","0","32","32","164.1","8.87","3.83","1.10",".290","69.7 %","28.4 %","8.9 %","4.49","4.20","4.87","2.6","6397"
"Trevor Williams","Pirates","14","10","0","31","31","170.2","6.64","2.90","0.79",".261","76.6 %","40.8 %","8.0 %","3.11","3.86","4.54","2.5","16977"
"Mike Leake","Mariners","10","10","0","31","31","185.2","5.77","1.65","1.11",".306","69.4 %","48.7 %","12.6 %","4.36","4.14","4.15","2.3","10130"
"Kevin Gausman","- - -","10","11","0","31","31","183.2","7.25","2.45","1.27",".299","76.8 %","46.0 %","13.7 %","3.92","4.32","4.19","2.3","14107"
"Derek Holland","Giants","7","9","0","36","30","171.1","8.88","3.52","1.00",".288","76.1 %","39.8 %","11.2 %","3.57","3.87","4.07","2.0","4141"
"Matthew Boyd","Tigers","9","13","0","31","31","170.1","8.40","2.69","1.43",".258","71.1 %","29.0 %","11.2 %","4.39","4.45","4.72","2.0","15440"
"Reynaldo Lopez","White Sox","7","10","0","32","32","188.2","7.20","3.58","1.19",".260","75.4 %","33.0 %","9.5 %","3.91","4.63","5.22","2.0","16400"
"Gio Gonzalez","- - -","10","11","0","32","32","171.0","7.79","4.21","0.89",".301","73.3 %","45.3 %","10.4 %","4.21","4.16","4.44","2.0","7448"
"Jake Arrieta","Phillies","10","11","0","31","31","172.2","7.19","2.97","1.09",".287","68.1 %","51.6 %","14.3 %","3.96","4.26","4.08","2.0","4153"
"Cole Hamels","- - -","9","12","0","32","32","190.2","8.87","3.07","1.37",".291","76.1 %","45.0 %","17.5 %","3.78","4.49","3.95","2.0","4972"
"Tyler Anderson","Rockies","7","9","0","32","32","176.0","8.39","3.02","1.53",".281","71.9 %","36.7 %","15.2 %","4.55","4.57","4.21","2.0","12880"
"Tanner Roark","Nationals","9","15","0","31","30","180.1","7.29","2.50","1.20",".296","72.8 %","40.7 %","11.7 %","4.34","4.27","4.42","1.9","8753"
"Sean Newcomb","Braves","12","9","0","31","30","164.0","8.78","4.45","0.99",".273","74.8 %","43.4 %","11.2 %","3.90","4.14","4.33","1.9","16943"
"Luis Castillo","Reds","10","12","0","31","31","169.2","8.75","2.60","1.49",".282","71.2 %","45.9 %","17.9 %","4.30","4.32","3.69","1.9","15689"
"Jose Urena","Marlins","9","12","0","31","31","174.0","6.72","2.64","0.98",".272","73.2 %","49.6 %","11.5 %","3.98","4.17","4.32","1.8","11589"
"Jon Lester","Cubs","18","6","0","32","32","181.2","7.38","3.17","1.19",".290","80.3 %","37.7 %","12.4 %","3.32","4.39","4.43","1.7","4930"
"Jose Quintana","Cubs","13","11","0","32","32","174.1","8.16","3.51","1.29",".282","76.8 %","43.2 %","14.7 %","4.03","4.43","4.18","1.4","11423"
"Mike Fiers","- - -","12","8","0","31","30","172.0","7.27","1.94","1.67",".269","84.2 %","39.4 %","14.1 %","3.56","4.75","4.51","1.4","7754"
"Jakob Junis","Royals","9","12","0","30","30","177.0","8.34","2.19","1.63",".298","74.8 %","42.0 %","16.2 %","4.37","4.64","4.13","1.3","13619"
"Ivan Nova","Pirates","9","9","0","29","29","161.0","6.37","1.96","1.45",".288","73.7 %","45.6 %","14.8 %","4.19","4.57","4.28","1.1","1994"
"James Shields","White Sox","7","16","0","34","33","204.2","6.77","3.43","1.50",".262","70.6 %","35.2 %","12.7 %","4.53","5.09","5.09","0.8","7059"
"Dylan Bundy","Orioles","8","16","0","31","31","171.2","9.65","2.83","2.15",".316","69.3 %","34.0 %","17.8 %","5.45","5.17","4.28","0.8","12917"
"Julio Teheran","Braves","9","9","0","31","31","175.2","8.30","4.30","1.33",".217","75.6 %","38.0 %","13.5 %","3.94","4.83","4.72","0.7","6797"
"Lucas Giolito","White Sox","10","13","0","32","32","173.1","6.49","4.67","1.40",".268","63.5 %","44.4 %","13.4 %","6.13","5.56","5.46","-0.2","15474"
